_id,state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
ObjectId("5ea70f340e750000200360f7"),12,FL,1997,14654000,149996,1012,7599,40459,100926,915613,213926,594492,107195
ObjectId("5ea70f340e750000200360f8"),12,FL,2013,19600311,91993,972,4765,23200,61054,607170,138915,433344,34911
ObjectId("5ea70f340e750000200360f9"),12,FL,2014,19905569,91345,982,5038,21621,61610,583774,121379,426197,36198
ObjectId("5ea70f340e750000200360fa"),12,FL,2000,15982378,129777,903,7057,31809,90008,780377,172898,518298,89181
ObjectId("5ea70f340e750000200360fb"),12,FL,2001,16373330,130713,874,6641,32867,90331,782517,176052,516548,89917
ObjectId("5ea70f340e750000200360fc"),12,FL,2002,16691701,128721,911,6753,32581,88476,777236,177242,511478,88516
ObjectId("5ea70f340e750000200360fd"),12,FL,2003,16999181,124280,924,6727,31523,85106,757696,170644,505489,81563
ObjectId("5ea70f340e750000200360fe"),12,FL,2005,17768191,125957,883,6592,30141,88341,712998,164783,472912,75303
ObjectId("5ea70f340e750000200360ff"),12,FL,1995,14166000,151711,1037,6887,42485,101302,939288,215657,612311,111320
ObjectId("5ea70f340e75000020036100"),12,FL,2015,20244914,93625,1041,5396,21137,63895,570270,109268,420341,40661
ObjectId("5ea70f340e75000020036101"),12,FL,1979,8860000,73881,1084,4576,22097,46124,607281,190884,378099,38298
ObjectId("5ea70f340e75000020036102"),12,FL,1980,9567112,94095,1387,5439,34015,53254,709730,239825,424223,45682
ObjectId("5ea70f340e75000020036103"),12,FL,1981,10166000,98109,1522,5707,35473,55407,718470,241536,431222,45712
ObjectId("5ea70f340e75000020036104"),12,FL,1982,10416000,93411,1409,5587,31002,55413,684166,211932,427462,44772
ObjectId("5ea70f340e75000020036105"),12,FL,1983,10680000,88292,1199,5170,28126,53797,635934,191902,400796,43236
ObjectId("5ea70f340e75000020036106"),12,FL,1984,10976000,95270,1264,5570,30311,58125,653429,198446,408153,46830
