_id,Measure,Race_Ethnicity,Estimate,State,Ratio
ObjectId("5ea70f4c0e750000200368c7"),Adults who had an appointment for routine health care in the last 12 months who sometimes or never got an appointments for routine care as soon as wanted, Medicare fee-for-service,White,8.4,Alabama,12%
ObjectId("5ea70f4c0e750000200368c8"),Adults who needed to see a specialist in the last 12 months who sometimes or never found it easy to see a specialist, Medicare fee-for-service,White,6.5,Alabama,10%
ObjectId("5ea70f4c0e750000200368c9"),Adults who reported that home health providers always seem informed and up-to-date about all the cares or treatments they got at home in the last 2 months of care,White,72.5,Alabama,7%
ObjectId("5ea70f4c0e750000200368ca"),Adults who needed care right away for an illness, injury, or condition in the last 12 months who sometimes or never got care as soon as wanted, Medicare fee-for-service,White,5.3,Alabama,7%
ObjectId("5ea70f4c0e750000200368cb"),Home health care patients whose management of oral medications improved,White,70,Alabama,6%
ObjectId("5ea70f4c0e750000200368cc"),Home health care patients whose ability to walk or move around improved,White,75.2,Alabama,5%
ObjectId("5ea70f4c0e750000200368cd"),Home health care patients whose bathing improved,White,79.2,Alabama,5%
ObjectId("5ea70f4c0e750000200368ce"),Home health care patients whose ability to get in and out of bed improved,White,73,Alabama,4%
ObjectId("5ea70f4c0e750000200368cf"),Home health care patients whose pain when moving around decreased,White,76.2,Alabama,3%
ObjectId("5ea70f4c0e750000200368d0"),Adults who reported that home health providers talk about pain in the last 2 months of care,White,93.7,Alabama,3%
ObjectId("5ea70f4c0e750000200368d1"),Adults who had an appointment for routine health care in the last 12 months who sometimes or never got an appointments for routine care as soon as wanted, Medicare managed care,White,8.1,Alabama,2%
ObjectId("5ea70f4c0e750000200368d2"),Adults who reported that home health providers talked with them about the purpose for taking their new or changed prescription medicines in the last 2 months of care,White,36.6,Alabama,2%
ObjectId("5ea70f4c0e750000200368d3"),Adults who reported a home health provider talking with them about all the prescription and over-the-counter medicines they were taking when they first started getting home health care,White,89.7,Alabama,2%
ObjectId("5ea70f4c0e750000200368d4"),Adults who did not have any problem with the care they received from their home health providers in the last 2 months of care,White,95.2,Alabama,1%
ObjectId("5ea70f4c0e750000200368d5"),Adults who reported that home health providers always treated them as gently as possible in the last 2 months of care,White,93.6,Alabama,1%
ObjectId("5ea70f4c0e750000200368d6"),Home health care patients who had an emergency department visit without a hospitalization,White,2.8,Alabama,1%
ObjectId("5ea70f4c0e750000200368d7"),Adults who reported that home health providers always treated them with courtesy and respect in the last 2 months of care,White,95.9,Alabama,1%
ObjectId("5ea70f4c0e750000200368d8"),Adults who reported that home health providers always explained things in a way that was easy to understand in the last 2 months of care,White,87.5,Alabama,1%
ObjectId("5ea70f4c0e750000200368d9"),Adults who reported a home health provider asking to see all the prescription and over-the-counter medicines they were taking, when they first started getting home health care,White,86.2,Alabama,1%
ObjectId("5ea70f4c0e750000200368da"),Adults who reported that home health providers always listen carefully to them in the last 2 months of care,White,88.5,Alabama,1%
ObjectId("5ea70f4c0e750000200368db"),Adults home health patients age 18 and over who reported that home health providers talked with them about the side effects of medicines in the last 2 months of care,White,29.7,Alabama,1%
ObjectId("5ea70f4c0e750000200368dc"),Adults who reported being told what care and services they would get when they first started getting home health care,White,91.7,Alabama,-0.4%
