_id,data_year,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,total_pe_ct,state_id,state_name,state_abbr,agency_count_pe_submitting,pe_ct_per_1000
ObjectId("5ea70f830e75000020051f89"),2010,5424,3354,808,4162,2070,10434,12504,4792630,16666,2,Alabama,AL,365,3.48
ObjectId("5ea70f830e75000020051f8a"),2011,5701,3587,801,4388,2114,10668,12782,4815348,17170,2,Alabama,AL,378,3.57
ObjectId("5ea70f830e75000020051f8b"),2012,5806,3584,809,4393,2222,10400,12622,4834334,17015,2,Alabama,AL,385,3.52
ObjectId("5ea70f830e75000020051f8c"),2013,5818,3684,805,4489,2134,10681,12815,4845981,17304,2,Alabama,AL,379,3.57
ObjectId("5ea70f830e75000020051f8d"),2014,5655,3591,829,4420,2064,10613,12677,4861676,17097,2,Alabama,AL,372,3.52
ObjectId("5ea70f830e75000020051f8e"),2015,5827,3694,861,4555,2133,10734,12867,4883134,17422,2,Alabama,AL,376,3.57
ObjectId("5ea70f830e75000020051f8f"),2016,5754,3617,857,4474,2137,10887,13024,4885591,17498,2,Alabama,AL,375,3.58
ObjectId("5ea70f830e75000020051f90"),2017,2827,1695,338,2033,1132,4899,6031,4894285,8064,2,Alabama,AL,378,1.65
ObjectId("5ea70f830e75000020051f91"),2018,5198,3196,898,4094,2002,9763,11765,4906885,15859,2,Alabama,AL,372,3.23
ObjectId("5ea70f830e75000020051f92"),2010,730,474,106,580,256,1152,1408,711456,1988,1,Alaska,AK,36,2.79
ObjectId("5ea70f830e75000020051f93"),2011,710,472,109,581,238,1215,1453,725910,2034,1,Alaska,AK,35,2.8
ObjectId("5ea70f830e75000020051f94"),2012,690,453,109,562,237,1221,1458,735190,2020,1,Alaska,AK,35,2.75
ObjectId("5ea70f830e75000020051f95"),2013,634,443,113,556,191,1248,1439,739005,1995,1,Alaska,AK,33,2.7
ObjectId("5ea70f830e75000020051f96"),2014,691,456,116,572,235,1202,1437,740644,2009,1,Alaska,AK,33,2.71
ObjectId("5ea70f830e75000020051f97"),2015,691,456,116,572,235,1200,1435,743350,2007,1,Alaska,AK,32,2.7
ObjectId("5ea70f830e75000020051f98"),2016,728,472,113,585,256,1156,1412,747188,1997,1,Alaska,AK,32,2.67
ObjectId("5ea70f830e75000020051f99"),2017,686,437,112,549,249,1135,1384,744849,1933,1,Alaska,AK,32,2.6
ObjectId("5ea70f830e75000020051f9a"),2018,699,436,124,560,263,1162,1425,742552,1985,1,Alaska,AK,33,2.67
ObjectId("5ea70f830e75000020051f9b"),2010,9685,5268,1360,6628,4417,11431,15848,6404623,22476,5,Arizona,AZ,117,3.51
ObjectId("5ea70f830e75000020051f9c"),2011,9439,5099,1325,6424,4340,11216,15556,6505261,21980,5,Arizona,AZ,116,3.38
ObjectId("5ea70f830e75000020051f9d"),2012,10124,5514,1417,6931,4610,11829,16439,6669918,23370,5,Arizona,AZ,115,3.5
ObjectId("5ea70f830e75000020051f9e"),2013,9466,5001,1276,6277,4465,10939,15404,6646289,21681,5,Arizona,AZ,113,3.26
ObjectId("5ea70f830e75000020051f9f"),2014,10217,5415,1336,6751,4802,11401,16203,6753058,22954,5,Arizona,AZ,115,3.4
ObjectId("5ea70f830e75000020051fa0"),2015,9983,5303,1399,6702,4680,11678,16358,6851271,23060,5,Arizona,AZ,115,3.37
ObjectId("5ea70f830e75000020051fa1"),2016,10004,5391,1334,6725,4613,11369,15982,6951468,22707,5,Arizona,AZ,117,3.27
ObjectId("5ea70f830e75000020051fa2"),2017,9888,5379,1382,6761,4509,11480,15989,7037119,22750,5,Arizona,AZ,114,3.23
ObjectId("5ea70f830e75000020051fa3"),2018,9672,5255,1399,6654,4417,11357,15774,7192613,22428,5,Arizona,AZ,115,3.12
ObjectId("5ea70f830e75000020051fa4"),2010,3925,2387,514,2901,1538,5930,7468,3034697,10369,3,Arkansas,AR,307,3.42
ObjectId("5ea70f830e75000020051fa5"),2011,3687,2260,533,2793,1427,5984,7411,3020076,10204,3,Arkansas,AR,289,3.38
ObjectId("5ea70f830e75000020051fa6"),2012,3722,2291,544,2835,1431,6099,7530,3082595,10365,3,Arkansas,AR,304,3.36
ObjectId("5ea70f830e75000020051fa7"),2013,3845,2364,532,2896,1481,6222,7703,3109825,10599,3,Arkansas,AR,304,3.41
ObjectId("5ea70f830e75000020051fa8"),2014,3907,2300,556,2856,1607,6260,7867,3142848,10723,3,Arkansas,AR,300,3.41
ObjectId("5ea70f830e75000020051fa9"),2015,4001,2402,548,2950,1599,6285,7884,3158605,10834,3,Arkansas,AR,307,3.43
ObjectId("5ea70f830e75000020051faa"),2016,3948,2349,579,2928,1599,6283,7882,3098083,10810,3,Arkansas,AR,315,3.49
ObjectId("5ea70f830e75000020051fab"),2017,3555,2042,567,2609,1513,5408,6921,3021597,9530,3,Arkansas,AR,296,3.15
