_id,Average high in ºF Av_ high Hi,Average low in ºF Av_ low Lo,Av_ precipitation in inch Av_ precip_ Pre_,State,_row
ObjectId("5ea733140e75000020056e74"),54,34,4.84,Alabama,Jan
ObjectId("5ea733140e75000020056e75"),58,37,4.53,Alabama,Feb
ObjectId("5ea733140e75000020056e76"),67,44,5.23,Alabama,Mar
ObjectId("5ea733140e75000020056e77"),74,51,4.38,Alabama,Apr
ObjectId("5ea733140e75000020056e78"),82,60,4.99,Alabama,May
ObjectId("5ea733140e75000020056e79"),88,68,4.38,Alabama,Jun
ObjectId("5ea733140e75000020056e7a"),91,71,4.8,Alabama,Jul
ObjectId("5ea733140e75000020056e7b"),91,71,3.93,Alabama,Aug
ObjectId("5ea733140e75000020056e7c"),85,64,3.9,Alabama,Sep
ObjectId("5ea733140e75000020056e7d"),75,53,3.44,Alabama,Oct
ObjectId("5ea733140e75000020056e7e"),65,44,4.85,Alabama,Nov
ObjectId("5ea733140e75000020056e7f"),56,36,4.45,Alabama,Dec
ObjectId("5ea733140e75000020056e80"),23,11,0.73,Alaska,Jan1
ObjectId("5ea733140e75000020056e81"),27,14,0.72,Alaska,Feb1
ObjectId("5ea733140e75000020056e82"),34,19,0.6,Alaska,Mar1
ObjectId("5ea733140e75000020056e83"),44,29,0.47,Alaska,Apr1
ObjectId("5ea733140e75000020056e84"),56,40,0.72,Alaska,May1
ObjectId("5ea733140e75000020056e85"),63,48,0.97,Alaska,Jun1
ObjectId("5ea733140e75000020056e86"),65,52,1.83,Alaska,Jul1
ObjectId("5ea733140e75000020056e87"),64,50,3.25,Alaska,Aug1
ObjectId("5ea733140e75000020056e88"),55,42,2.99,Alaska,Sep1
ObjectId("5ea733140e75000020056e89"),40,29,2.03,Alaska,Oct1
ObjectId("5ea733140e75000020056e8a"),28,17,1.16,Alaska,Nov1
ObjectId("5ea733140e75000020056e8b"),25,13,1.11,Alaska,Dec1
ObjectId("5ea733140e75000020056e8c"),67,46,0.91,Arizona,Jan2
ObjectId("5ea733140e75000020056e8d"),71,49,0.92,Arizona,Feb2
ObjectId("5ea733140e75000020056e8e"),77,53,0.99,Arizona,Mar2
ObjectId("5ea733140e75000020056e8f"),85,60,0.28,Arizona,Apr2
ObjectId("5ea733140e75000020056e90"),95,69,0.11,Arizona,May2
ObjectId("5ea733140e75000020056e91"),104,78,0.02,Arizona,Jun2
ObjectId("5ea733140e75000020056e92"),106,83,1.05,Arizona,Jul2
ObjectId("5ea733140e75000020056e93"),104,83,1,Arizona,Aug2
ObjectId("5ea733140e75000020056e94"),100,77,0.64,Arizona,Sep2
ObjectId("5ea733140e75000020056e95"),89,65,0.58,Arizona,Oct2
ObjectId("5ea733140e75000020056e96"),76,53,0.65,Arizona,Nov2
ObjectId("5ea733140e75000020056e97"),66,45,0.88,Arizona,Dec2
ObjectId("5ea733140e75000020056e98"),51,32,3.54,Arkansas,Jan3
ObjectId("5ea733140e75000020056e99"),55,35,3.66,Arkansas,Feb3
ObjectId("5ea733140e75000020056e9a"),64,43,4.65,Arkansas,Mar3
ObjectId("5ea733140e75000020056e9b"),73,51,5.12,Arkansas,Apr3
ObjectId("5ea733140e75000020056e9c"),81,61,4.84,Arkansas,May3
ObjectId("5ea733140e75000020056e9d"),89,69,3.62,Arkansas,Jun3
ObjectId("5ea733140e75000020056e9e"),92,73,3.27,Arkansas,Jul3
ObjectId("5ea733140e75000020056e9f"),93,72,2.6,Arkansas,Aug3
ObjectId("5ea733140e75000020056ea0"),86,65,3.15,Arkansas,Sep3
ObjectId("5ea733140e75000020056ea1"),75,53,4.88,Arkansas,Oct3
ObjectId("5ea733140e75000020056ea2"),63,42,5.28,Arkansas,Nov3
ObjectId("5ea733140e75000020056ea3"),52,34,4.96,Arkansas,Dec3
ObjectId("5ea733140e75000020056ea4"),54,39,3.64,California,Jan4
ObjectId("5ea733140e75000020056ea5"),60,41,3.47,California,Feb4
ObjectId("5ea733140e75000020056ea6"),65,44,2.75,California,Mar4
ObjectId("5ea733140e75000020056ea7"),71,46,1.15,California,Apr4
ObjectId("5ea733140e75000020056ea8"),80,51,0.68,California,May4
ObjectId("5ea733140e75000020056ea9"),87,56,0.21,California,Jun4
ObjectId("5ea733140e75000020056eaa"),92,58,0,California,Jul4
ObjectId("5ea733140e75000020056eab"),91,58,0.05,California,Aug4
ObjectId("5ea733140e75000020056eac"),87,56,0.29,California,Sep4
ObjectId("5ea733140e75000020056ead"),78,50,0.95,California,Oct4
ObjectId("5ea733140e75000020056eae"),64,43,2.08,California,Nov4
ObjectId("5ea733140e75000020056eaf"),54,38,3.25,California,Dec4
ObjectId("5ea733140e75000020056eb0"),45,18,0.39,Colorado,Jan5
ObjectId("5ea733140e75000020056eb1"),46,19,0.35,Colorado,Feb5
ObjectId("5ea733140e75000020056eb2"),54,27,0.91,Colorado,Mar5
ObjectId("5ea733140e75000020056eb3"),61,34,1.69,Colorado,Apr5
ObjectId("5ea733140e75000020056eb4"),72,43,2.13,Colorado,May5
ObjectId("5ea733140e75000020056eb5"),82,52,1.97,Colorado,Jun5
ObjectId("5ea733140e75000020056eb6"),90,59,2.17,Colorado,Jul5
ObjectId("5ea733140e75000020056eb7"),88,57,1.69,Colorado,Aug5
ObjectId("5ea733140e75000020056eb8"),79,48,0.94,Colorado,Sep5
ObjectId("5ea733140e75000020056eb9"),66,37,1.02,Colorado,Oct5
ObjectId("5ea733140e75000020056eba"),52,25,0.59,Colorado,Nov5
ObjectId("5ea733140e75000020056ebb"),45,18,0.31,Colorado,Dec5
ObjectId("5ea733140e75000020056ebc"),37,23,3.1,Connecticut,Jan6
ObjectId("5ea733140e75000020056ebd"),40,25,2.79,Connecticut,Feb6
ObjectId("5ea733140e75000020056ebe"),47,31,4.05,Connecticut,Mar6
ObjectId("5ea733140e75000020056ebf"),58,41,4.13,Connecticut,Apr6
ObjectId("5ea733140e75000020056ec0"),68,51,3.8,Connecticut,May6
ObjectId("5ea733140e75000020056ec1"),77,60,3.61,Connecticut,Jun6
ObjectId("5ea733140e75000020056ec2"),82,66,3.46,Connecticut,Jul6
ObjectId("5ea733140e75000020056ec3"),81,66,3.96,Connecticut,Aug6
ObjectId("5ea733140e75000020056ec4"),74,58,3.48,Connecticut,Sep6
ObjectId("5ea733140e75000020056ec5"),63,47,3.64,Connecticut,Oct6
ObjectId("5ea733140e75000020056ec6"),53,38,3.39,Connecticut,Nov6
ObjectId("5ea733140e75000020056ec7"),42,28,3.33,Connecticut,Dec6
ObjectId("5ea733140e75000020056ec8"),43,27,3.41,Delaware,Jan7
ObjectId("5ea733140e75000020056ec9"),47,29,3.07,Delaware,Feb7
ObjectId("5ea733140e75000020056eca"),55,36,4.31,Delaware,Mar7
ObjectId("5ea733140e75000020056ecb"),66,44,3.88,Delaware,Apr7
ObjectId("5ea733140e75000020056ecc"),75,54,4.25,Delaware,May7
ObjectId("5ea733140e75000020056ecd"),83,63,4,Delaware,Jun7
ObjectId("5ea733140e75000020056ece"),87,68,4.09,Delaware,Jul7
ObjectId("5ea733140e75000020056ecf"),85,67,4.36,Delaware,Aug7
ObjectId("5ea733140e75000020056ed0"),79,60,4.13,Delaware,Sep7
ObjectId("5ea733140e75000020056ed1"),69,49,3.42,Delaware,Oct7
ObjectId("5ea733140e75000020056ed2"),58,40,3.48,Delaware,Nov7
ObjectId("5ea733140e75000020056ed3"),47,31,3.65,Delaware,Dec7
ObjectId("5ea733140e75000020056ed4"),64,39,4.34,Florida,Jan8
ObjectId("5ea733140e75000020056ed5"),67,42,4.85,Florida,Feb8
ObjectId("5ea733140e75000020056ed6"),74,47,5.94,Florida,Mar8
ObjectId("5ea733140e75000020056ed7"),80,52,3.06,Florida,Apr8
ObjectId("5ea733140e75000020056ed8"),87,62,3.47,Florida,May8
ObjectId("5ea733140e75000020056ed9"),91,69,7.73,Florida,Jun8
ObjectId("5ea733140e75000020056eda"),92,72,7.17,Florida,Jul8
ObjectId("5ea733140e75000020056edb"),92,72,7.35,Florida,Aug8
ObjectId("5ea733140e75000020056edc"),88,68,4.69,Florida,Sep8
ObjectId("5ea733140e75000020056edd"),81,57,3.23,Florida,Oct8
ObjectId("5ea733140e75000020056ede"),73,47,3.5,Florida,Nov8
ObjectId("5ea733140e75000020056edf"),65,41,3.9,Florida,Dec8
ObjectId("5ea733140e75000020056ee0"),52,34,4.21,Georgia,Jan9
ObjectId("5ea733140e75000020056ee1"),57,37,4.69,Georgia,Feb9
ObjectId("5ea733140e75000020056ee2"),64,45,4.8,Georgia,Mar9
ObjectId("5ea733140e75000020056ee3"),72,52,3.35,Georgia,Apr9
ObjectId("5ea733140e75000020056ee4"),81,61,3.66,Georgia,May9
ObjectId("5ea733140e75000020056ee5"),86,68,3.94,Georgia,Jun9
ObjectId("5ea733140e75000020056ee6"),90,72,5.28,Georgia,Jul9
ObjectId("5ea733140e75000020056ee7"),88,72,3.9,Georgia,Aug9
ObjectId("5ea733140e75000020056ee8"),82,64,4.49,Georgia,Sep9
ObjectId("5ea733140e75000020056ee9"),73,54,3.43,Georgia,Oct9
ObjectId("5ea733140e75000020056eea"),64,43,4.09,Georgia,Nov9
ObjectId("5ea733140e75000020056eeb"),54,36,3.9,Georgia,Dec9
ObjectId("5ea733140e75000020056eec"),80,66,2.31,Hawaii,Jan10
ObjectId("5ea733140e75000020056eed"),80,66,1.99,Hawaii,Feb10
ObjectId("5ea733140e75000020056eee"),81,68,2.02,Hawaii,Mar10
